name,address,gmap_id,category,avg_rating,num_of_reviews,city,is_food,latitude,longitude
NORMS Restaurant,"NORMS Restaurant, 1125 N Euclid St, Anaheim, CA 92801",0x80dd29f17af60bff:0xe7feace31eac6dd,"Restaurant,American restaurant,Breakfast restaurant,Diner,Family restaurant",4.2,3862,Anaheim,True,,
In-N-Out Burger,"In-N-Out Burger, 600 S Brookhurst St, Anaheim, CA 92804, United States",0x86d60a9fda5d1c69:0xbdde4994a5f034b4,"Hamburger restaurant,American restaurant,Diner,Fast food restaurant,Lunch restaurant,Restaurant",4.6,3619,Anaheim,True,33.8248558,-117.95849461690325
Bubba Gump Shrimp Co.,"Bubba Gump Shrimp Co., 321 W Katella Ave Suite 101, Anaheim, CA 92802, United States",0x80dcd7c31e793301:0x102d331d57cc0611,"Seafood restaurant,American restaurant",4.4,2834,Anaheim,True,,
Golden Corral Buffet & Grill,"Golden Corral Buffet & Grill, 2190 E Lincoln Ave, Anaheim, CA 92806, United States",0x80dd2997a2c7f099:0x48fdef5ef47544ea,"Buffet restaurant,American restaurant,Banquet hall,Breakfast restaurant,Down home cooking restaurant,Family restaurant,Steak house",4.0,1563,Anaheim,True,,
Mimi's Cafe,"Mimi's Cafe, 1400 S Harbor Blvd, Anaheim, CA 92802, United States",0x80dcd7d1b2ffcdcd:0x591d9880db719848,"Bistro,Bakery,Bar,Breakfast restaurant,Brunch restaurant,Cafe,Caterer,French restaurant,Takeout restaurant,Wine bar",4.2,1268,Anaheim,True,33.8123488,-117.91481808617021
FiRE+iCE,"FiRE+iCE, 400 Disney Way, Anaheim, CA 92802, United States",0x80dcd7c31e793301:0x50dd0e8b33f0efbf,"Bar & grill,Restaurant",4.4,1212,Anaheim,True,,
City National Grove of Anaheim,"City National Grove of Anaheim, 2200 E Katella Ave, Anaheim, CA 92806, United States",0x80dcd7996d053379:0xfaba57ce9ef0682,"Concert hall,Comedy club,Event venue,Live music venue,Performing arts theater",4.5,1166,Anaheim,True,,
Popeyes Louisiana Kitchen,"Popeyes Louisiana Kitchen, 1005 N Magnolia St, Anaheim, CA 92801, United States",0x80dd297e6bb57c37:0x375e047c907062cc,"Chicken restaurant,Cajun restaurant,Fast food restaurant,Restaurant,Seafood restaurant",3.6,955,Anaheim,True,,
Blake's Place,"Blake's Place, 2901 E Miraloma Ave, Anaheim, CA 92806, United States",0x80dcd68d971c2551:0x8da563562c17d50a,"Barbecue restaurant,American restaurant",4.6,878,Anaheim,True,,
"Kaiba Japanese Ramen, Sushi & Grill","Kaiba Japanese Ramen, Sushi & Grill, 820 N Euclid St, Anaheim, CA 92801, United States",0x80dd29ee6b1b21fb:0xcbd9b51521099459,Japanese restaurant,4.6,678,Anaheim,True,,
Bakersfield,"Bakersfield, 334 Massachusetts Ave, Indianapolis, IN 46204",0x886b51cc0031b7df:0x3a47bd1d52d5336d,"Taco restaurant,Bar",4.5,1974,Bakersfield,True,39.771992,-86.153551
Buffalo Wild Wings,"Buffalo Wild Wings, 5677 Gosford Rd, Bakersfield, CA 93313, United States",0x80ea4057d6e1deaf:0x520a4ad363b12e4d,"Chicken wings restaurant,American restaurant,Bar & grill,Takeout restaurant,Restaurant,Sports bar",3.8,1518,Bakersfield,True,,
Bakersfield,"Bakersfield, 733 N High St, Columbus, OH 43215, United States",0x88388ed786fa54bb:0x62c4fabe208cba1c,"Taco restaurant,Bar",4.4,1144,Bakersfield,True,39.9773402,-83.00384383291176
El Taco Loco,"El Taco Loco, 4150 Stine Rd, Bakersfield, CA 93313, United States",0x80ea402de146368f:0xad452d02a209e431,"Mexican restaurant,Latin American restaurant",3.9,783,Bakersfield,True,,
La Villa Taqueria,"La Villa Taqueria, 4001 Niles St #4600, Bakersfield, CA 93306",0x80ea6c1243a17527:0x650a51ed47e926c2,Mexican restaurant,4.1,688,Bakersfield,True,,
Tacos La Villa,"Tacos La Villa, 1501 S Union Ave, Bakersfield, CA 93307, United States",0x80ea6a55915744f9:0xc48b01a36aa2de78,Mexican restaurant,4.2,673,Bakersfield,True,,
Del Taco,"Del Taco, 8270 Rosedale Hwy, Bakersfield, CA 93312",0x80ea43ad3c6fb1f7:0x397dad7918c948ac,"Fast food restaurant,American restaurant,Takeout Restaurant,Mexican restaurant,Restaurant",3.9,664,Bakersfield,True,,
California Fruit Depot,"California Fruit Depot, 10850 Redbank Rd, Bakersfield, CA 93307, United States",0x80ea6d38c6c08ff9:0xff99f6cd1e5fef0,Fresh food market,4.7,488,Bakersfield,True,,
Wienerschnitzel,"Wienerschnitzel, 2401 Brundage Ln, Bakersfield, CA 93304, United States",0x80ea6a13e02c1d77:0xf5360420b7b8d254,"Fast food restaurant,Hot dog restaurant,Restaurant",4.2,460,Bakersfield,True,,
Rock & Wings,"Rock & Wings, 2180 White Ln, Bakersfield, CA 93304",0x80ea6a9209d80c11:0xd2d7d734f9d10e40,"Sports bar,Chicken wings restaurant",4.3,417,Bakersfield,True,,
In-N-Out Burger,"In-N-Out Burger, 4302 N Blackstone Ave, Fresno, CA 93726, United States",0x809467800c02cbbd:0x32600950577daa0b,"Hamburger restaurant,American restaurant,Diner,Fast food restaurant,Lunch restaurant,Restaurant",4.6,3711,Fresno,True,36.79613165,-119.7899153
In-N-Out Burger,"In-N-Out Burger, 8010 N Blackstone Ave, Fresno, CA 93720, United States",0x8094681fbf59c68b:0xf5f8de66786724a4,"Hamburger restaurant,American restaurant,Diner,Fast food restaurant,Lunch restaurant,Restaurant",4.7,2408,Fresno,True,36.8522422,-119.7905006807055
Westwoods BBQ & Spice Co,"Westwoods BBQ & Spice Co, 8042 N Blackstone Ave, Fresno, CA 93720, United States",0x8094681fdf08c649:0xc524985a70250488,"Barbecue restaurant,Restaurant",4.4,1872,Fresno,True,36.852756400000004,-119.78911094993784
Yard House,"Yard House, 90 El Camino, Fresno, CA 93720, United States",0x8094681df688aa95:0x49d915a352be1b3b,"New American restaurant,Bar & grill,Brunch restaurant,Fusion restaurant,Gastropub,Health food restaurant,Takeout restaurant,Sports bar,Vegetarian restaurant",4.4,1823,Fresno,True,,
Hometown AYCE Marketplace,"Hometown AYCE Marketplace, 3617 W Shaw Ave, Fresno, CA 93711, United States",0x80946618708b8893:0xe2db84fa5bd33cbe,"Buffet restaurant,American restaurant,Restaurant",3.7,1333,Fresno,True,,
Denny's,"Denny's, 1110 E Shaw Ave, Fresno, CA 93710, United States",0x80945d72449c7033:0xe3641bcc540d35a6,"Diner,American restaurant,Breakfast restaurant",3.6,1300,Fresno,True,,
McDonald's,"McDonald's, 1248 N Blackstone Ave, Fresno, CA 93703, United States",0x80946755bd2019c3:0xe0d18870ec468997,"Fast food restaurant,Breakfast restaurant,Coffee shop,Hamburger restaurant,Restaurant,Sandwich shop",3.6,1185,Fresno,True,36.758694,-119.7902389
Hino Oishi,"Hino Oishi, 3091 E Campus Pointe Dr, Fresno, CA 93710, United States",0x80945cf8f3d70539:0x9ddf0616667d3c92,Teppanyaki restaurant,4.6,1175,Fresno,True,36.811668,-119.734476
Jack in the Box,"Jack in the Box, 1405 W Olive Ave, Fresno, CA 93708",0x80946725ca146f2f:0x34bd25317806b9e6,"Fast food restaurant,Breakfast restaurant,Chicken restaurant,Hamburger restaurant",3.9,922,Fresno,True,36.757162449999996,-119.82805635
Burger King,"Burger King, 1233 Fresno St, Fresno, CA 93706",0x80946099ccce950f:0x453ec97a1e5155c6,Fast food restaurant,3.4,797,Fresno,True,,
In-N-Out Burger,"In-N-Out Burger, 4115 Campus Dr, Irvine, CA 92612, United States",0x80dcde0dafec4d33:0x92865f367ab73b7c,"Hamburger restaurant,American restaurant,Diner,Fast food restaurant,Lunch restaurant,Restaurant",4.6,2198,Irvine,True,33.6501388,-117.84061484648413
The Cheesecake Factory,"The Cheesecake Factory, 600 Spectrum Center Dr, Irvine, CA 92618, United States",0x80dce7f95c60e595:0xddb078d92dd22b63,"Restaurant,American restaurant,Dessert restaurant,Takeout restaurant",4.2,1618,Irvine,True,33.6510718,-117.746138
Yard House,"Yard House, 620 Spectrum Center Dr, Irvine, CA 92618, United States",0x80dce7f95c60e595:0x8c1d8961fadd6050,"New American restaurant,Bar & grill,Brunch restaurant,Fusion restaurant,Gastropub,Health food restaurant,Takeout restaurant,Sports bar,Vegetarian restaurant",4.4,1573,Irvine,True,33.6504961,-117.74556
Lazy Dog Restaurant & Bar,"Lazy Dog Restaurant & Bar, 13290 Jamboree Rd, Irvine, CA 92602, United States",0x80dcdb808573fff5:0xae76d2b0c6ab747d,American restaurant,4.4,1518,Irvine,True,,
Buffalo Wild Wings,"Buffalo Wild Wings, 14110 Culver Dr, Irvine, CA 92604, United States",0x80dcdcf54cc4fafb:0x28d2450edbd531e0,"Chicken wings restaurant,American restaurant,Bar & grill,Takeout restaurant,Restaurant,Sports bar",4.0,921,Irvine,True,33.708693350000004,-117.78293295398761
Chick-fil-A,"Chick-fil-A, 6428 Irvine Blvd, Irvine, CA 92620, United States",0x80dcdcd5c67a0633:0x378ada9e9c4aadbd,"Fast food restaurant,Breakfast restaurant,Caterer,Chicken restaurant,Delivery service,Family restaurant",4.4,908,Irvine,True,33.699166500000004,-117.74003347002088
CAVA,"CAVA, 3972 Barranca Pkwy, Irvine, CA 92606, United States",0x80dcdc34352478d7:0x20017cf4f2a12ff8,Mediterranean restaurant,4.5,593,Irvine,True,33.6851815,-117.8106526
Whole Foods Market,"Whole Foods Market, 8525 Irvine Center Dr, Irvine, CA 92618, United States",0x80dce7fb48c48117:0xdc8185436c33d167,"Grocery store,Health food store,Natural goods store,Supermarket",4.2,585,Irvine,True,,
